seq_id,type,route id,source stop id,destination stop id
1,BRTS,100-D,1,38
2,BRTS,100-U,39,76
3,Non-BRTS,101-D,77,120
4,Non-BRTS,101-U,120,77
5,Non-BRTS,102-D,157,120
6,Non-BRTS,102-U,120,157
7,Non-BRTS,103A-D,240,313
8,Non-BRTS,103A-U,314,383
9,Non-BRTS,103-D,384,417
10,Non-BRTS,103-U,314,430
11,Non-BRTS,104-D,431,464
12,Non-BRTS,104-U,465,495
13,Non-BRTS,105-D,496,516
14,Non-BRTS,105-U,517,540
15,Non-BRTS,106-R,541,591
16,Non-BRTS,107-D,592,516
17,Non-BRTS,107-U,516,592
18,Non-BRTS,108-D,659,684
19,Non-BRTS,108-U,685,705
20,Non-BRTS,109-R,706,706
21,Non-BRTS,10-D,753,782
22,Non-BRTS,10-U,782,753
23,Non-BRTS,110-R,808,808
24,Non-BRTS,111-D,855,884
25,Non-BRTS,111-U,884,855
26,Non-BRTS,112-D,918,937
27,Non-BRTS,112-U,938,958
28,Non-BRTS,113A-D,592,669
29,Non-BRTS,113A-U,987,1016
30,Non-BRTS,113B-D,592,524
31,Non-BRTS,113B-U,524,592
32,Non-BRTS,113-D,1042,1070
33,Non-BRTS,113-U,1071,1089
34,Non-BRTS,114-D,1090,1115
35,Non-BRTS,114-U,1116,1141
36,BRTS,115P-D,1,1161
37,BRTS,115P-U,1162,76
38,Non-BRTS,116-D,1183,1209
39,Non-BRTS,116-U,1210,1231
40,Non-BRTS,117A-D,1232,1259
41,Non-BRTS,117A-U,1260,495
42,Non-BRTS,117-D,1283,1311
43,Non-BRTS,117-U,1312,1333
44,Non-BRTS,118-7-D,1334,1357
45,Non-BRTS,118-7-U,1357,1334
46,Non-BRTS,118A-D,1368,1386
47,Non-BRTS,118A-U,1387,1402
48,Non-BRTS,118-D,1334,1357
49,Non-BRTS,118-U,1357,1334
50,Non-BRTS,119A-D,1415,1439
51,Non-BRTS,119A-U,1440,1464
52,Non-BRTS,119-D,1415,1509
53,Non-BRTS,119-U,524,1415
54,Non-BRTS,11-D,1544,1582
55,Non-BRTS,11K-D,1583,1626
56,Non-BRTS,11K-U,1627,1583
57,Non-BRTS,11-U,1582,1544
58,Non-BRTS,120-D,1696,524
59,Non-BRTS,120-U,524,1812
60,Non-BRTS,121-D,1813,1842
61,Non-BRTS,121-U,1843,1813
62,Non-BRTS,122-D,1869,524
63,Non-BRTS,122-U,524,1869
64,Non-BRTS,123-D,1927,990
65,Non-BRTS,123-U,1963,1996
66,Non-BRTS,125-D,1997,2025
67,Non-BRTS,125-U,2026,2045
68,Non-BRTS,126-D,2046,2074
69,Non-BRTS,126-U,2075,2099
70,Non-BRTS,128-D,2100,2136
71,Non-BRTS,128-U,2137,2026
72,Non-BRTS,129-D,496,2184
73,Non-BRTS,129-U,2184,496
74,Non-BRTS,12-D,2198,2255
75,Non-BRTS,12-U,2256,2198
76,Non-BRTS,130-D,2313,2339
77,Non-BRTS,130-U,2339,2359
78,BRTS,132A-D,2360,1168
79,BRTS,132A-U,38,2393
80,BRTS,132-D,2394,1168
81,BRTS,132-U,38,2395
82,BRTS,133A-D,2396,1168
83,BRTS,133A-U,38,2397
84,BRTS,133B-D,2399,1168
85,BRTS,133B-U,38,2414
86,BRTS,133-D,2416,1168
87,BRTS,133-U,38,2429
88,Non-BRTS,134-D,2430,2449
89,Non-BRTS,134-U,2450,2430
90,Non-BRTS,135-D,2467,2503
91,Non-BRTS,135-U,2504,2467
92,Non-BRTS,136-D,2533,2567
93,Non-BRTS,136-U,2568,2596
94,Non-BRTS,139A-D,2597,2651
95,Non-BRTS,139A-U,2652,1996
96,Non-BRTS,139-D,1996,2758
97,Non-BRTS,139-U,2759,1996
98,Non-BRTS,13A-D,2814,2840
99,Non-BRTS,13A-U,2841,2865
100,Non-BRTS,13-D,2866,2836
101,Non-BRTS,13L-D,2883,2906
102,Non-BRTS,13L-U,2907,2914
103,Non-BRTS,13-U,2915,2932
104,Non-BRTS,140-D,2933,2915
105,Non-BRTS,140-U,2915,2933
106,Non-BRTS,141-D,2933,2991
107,Non-BRTS,141-U,2992,2933
108,Non-BRTS,142-D,3013,3067
109,Non-BRTS,142-U,3067,3121
110,Non-BRTS,143A-D,3122,3154
111,Non-BRTS,143A-U,3155,3188
112,Non-BRTS,143-D,3189,3219
113,Non-BRTS,143-U,3220,3252
114,Non-BRTS,144A-D,3253,3286
115,Non-BRTS,144A-U,3287,3320
116,BRTS,144B-D,2416,3349
117,BRTS,144B-U,3350,2429
118,Non-BRTS,144-D,3375,3397
119,Non-BRTS,144K-D,2503,3421
120,Non-BRTS,144K-U,3422,2143
121,Non-BRTS,144-U,3444,3464
122,Non-BRTS,145B-D,3465,3496
123,Non-BRTS,145B-U,3497,3528
124,Non-BRTS,145-D,3529,3571
125,Non-BRTS,145-U,3572,3611
126,Non-BRTS,146-D,3612,3629
127,Non-BRTS,146-U,3630,3648
128,Non-BRTS,147-D,3649,3706
129,Non-BRTS,147-U,3706,3649
130,Non-BRTS,148A-D,3750,3807
131,Non-BRTS,148A-U,3808,3863
132,Non-BRTS,148-D,3864,3910
133,Non-BRTS,148-U,3910,3953
134,BRTS,149A-D,3954,4034
135,BRTS,149A-U,2759,4101
136,BRTS,149-D,4102,4034
137,BRTS,149-U,2759,4102
138,BRTS,14-D,4157,4205
139,BRTS,14-U,4205,4251
140,Non-BRTS,151-D,4252,4295
141,Non-BRTS,151-U,4296,4334
142,BRTS,154-D,4335,1160
143,BRTS,154-U,1160,4355
144,Non-BRTS,155-D,4356,4389
145,Non-BRTS,155-U,4390,4356
146,Non-BRTS,158A-D,4410,3577
147,Non-BRTS,158A-U,4427,4453
148,Non-BRTS,158-D,4454,2315
149,Non-BRTS,158-U,2315,157
150,BRTS,159-D,4483,1168
151,BRTS,159K-D,4502,1168
152,BRTS,159K-U,1168,4502
153,BRTS,159P-D,4517,1168
154,BRTS,159P-U,1168,4521
155,BRTS,159-U,1168,4483
156,Non-BRTS,160-D,4522,4539
157,Non-BRTS,160-U,4540,4559
158,BRTS,161-D,4560,4572
159,BRTS,161-U,4572,4584
160,Non-BRTS,162-D,4585,2449
161,Non-BRTS,162-U,4642,4696
162,BRTS,163-D,4697,1160
163,BRTS,163-U,1160,4706
164,BRTS,164-D,4560,4714
165,BRTS,164-U,4715,4584
166,BRTS,165-D,2360,4725
167,BRTS,165-U,38,2393
168,BRTS,166-D,4560,1160
169,BRTS,166-U,1160,4584
170,Non-BRTS,167-D,3680,3904
171,Non-BRTS,167-U,4749,3680
172,Non-BRTS,168-D,4770,524
173,Non-BRTS,168-U,524,4807
174,Non-BRTS,169-D,4808,4827
175,Non-BRTS,169-U,4828,4847
176,Non-BRTS,170-D,4848,4870
177,Non-BRTS,170-U,4871,4894
178,Non-BRTS,174-D,4895,4949
179,Non-BRTS,174-U,4950,4999
180,Non-BRTS,175-D,5000,5023
181,Non-BRTS,175-U,5023,5000
182,Non-BRTS,176A-D,5035,5055
183,Non-BRTS,176A-U,5056,5035
184,Non-BRTS,176-D,5073,5096
185,Non-BRTS,176-U,5056,5108
186,Non-BRTS,177A-D,5039,5141
187,Non-BRTS,177A-U,5142,5039
188,Non-BRTS,177B-D,5171,5182
189,Non-BRTS,177B-U,5182,5039
190,Non-BRTS,177-D,5185,5200
191,Non-BRTS,177K-D,5035,5218
192,Non-BRTS,177K-U,3375,5234
193,Non-BRTS,177M-D,5235,5260
194,Non-BRTS,177M-U,5182,5282
195,Non-BRTS,177-U,5283,5296
196,Non-BRTS,179-D,5297,5325
197,Non-BRTS,179-U,5326,5297
198,Non-BRTS,17-D,5340,5370
199,Non-BRTS,17-U,5371,5395
200,Non-BRTS,180-D,5396,5426
201,Non-BRTS,180-U,5427,5453
202,Non-BRTS,181A-D,5454,5483
203,Non-BRTS,181A-U,5484,5511
204,Non-BRTS,181B-D,5100,5538
205,Non-BRTS,181B-U,5539,5564
206,Non-BRTS,181-D,5565,5592
207,Non-BRTS,181-U,5538,5565
208,Non-BRTS,183-D,5618,3904
209,Non-BRTS,183-U,5646,5667
210,Non-BRTS,184A-D,5668,5686
211,Non-BRTS,184A-NGT-D,5687,5691
212,Non-BRTS,184A-NGT-U,5691,5706
213,Non-BRTS,184A-U,5707,5712
214,Non-BRTS,184B-D,5713,5740
215,Non-BRTS,184B-U,5741,5713
216,Non-BRTS,184-D,5713,5784
217,Non-BRTS,184-U,5785,5713
218,Non-BRTS,185-D,5799,3904
219,Non-BRTS,185-U,5813,5829
220,Non-BRTS,186A-D,5830,5857
221,Non-BRTS,186A-U,5858,5879
222,Non-BRTS,186-D,5880,5904
223,Non-BRTS,186-U,5904,5921
224,Non-BRTS,187-D,5922,5945
225,Non-BRTS,187-U,5945,5922
226,Non-BRTS,188-D,5965,3904
227,Non-BRTS,188-U,3904,6013
228,Non-BRTS,189-D,6014,6023
229,Non-BRTS,189-U,6024,6030
230,Non-BRTS,18-D,6031,6045
231,Non-BRTS,18-U,6045,6031
232,Non-BRTS,190-D,6058,3904
233,Non-BRTS,190-U,3904,6058
234,Non-BRTS,191-D,6069,6089
235,Non-BRTS,191-U,6090,6113
236,Non-BRTS,192-D,6114,6131
237,Non-BRTS,192-U,6132,6147
238,Non-BRTS,193-D,6148,6186
239,Non-BRTS,193-U,6187,6224
240,Non-BRTS,195-D,6225,3904
241,Non-BRTS,195-U,3904,6255
242,Non-BRTS,196A-D,6256,6279
243,Non-BRTS,196A-U,6280,6304
244,Non-BRTS,196-D,6305,6322
245,Non-BRTS,196-U,6323,6305
246,Non-BRTS,197-D,120,3904
247,Non-BRTS,197-U,6364,120
248,Non-BRTS,198-D,5802,3904
249,Non-BRTS,198-U,6419,5802
250,Non-BRTS,19-D,2932,6461
251,Non-BRTS,19-U,6462,2932
252,Non-BRTS,200-D,1312,6498
253,Non-BRTS,200-U,6498,1312
254,Non-BRTS,201-D,6519,6561
255,Non-BRTS,201-U,6561,6608
256,Non-BRTS,202-D,6609,6648
257,Non-BRTS,202-U,6649,6609
258,Non-BRTS,203-D,6691,6709
259,Non-BRTS,203-NGT-D,6710,6725
260,Non-BRTS,203-NGT-U,6726,6710
261,Non-BRTS,203P-D,6740,6753
262,Non-BRTS,203P-U,6754,6768
263,Non-BRTS,203-U,6769,6785
264,BRTS,204-D,6786,6808
265,BRTS,204-U,6809,6828
266,Non-BRTS,205-D,6829,3904
267,Non-BRTS,205-U,6877,6829
268,Non-BRTS,206-D,6914,6955
269,Non-BRTS,206-U,6956,6997
270,Non-BRTS,207A-D,6998,3904
271,Non-BRTS,207A-U,3904,6998
272,Non-BRTS,207-D,7044,7088
273,Non-BRTS,207-U,5879,7129
274,Non-BRTS,208-D,240,3904
275,Non-BRTS,208-U,7178,7236
276,Non-BRTS,20-D,2449,7250
277,Non-BRTS,20-U,7250,7266
278,BRTS,213-D,4560,7278
279,BRTS,213-U,7279,4584
280,Non-BRTS,214-D,7291,7306
281,Non-BRTS,214-U,7307,7316
282,Non-BRTS,215-D,7317,7336
283,Non-BRTS,215-U,7336,2856
284,Non-BRTS,216-R,7354,7354
285,Non-BRTS,217-D,7385,7403
286,Non-BRTS,217-U,7403,7413
287,Non-BRTS,218-D,7414,7453
288,Non-BRTS,218-U,7454,7414
289,Non-BRTS,21-D,6829,7527
290,Non-BRTS,21N-D,7528,7556
291,Non-BRTS,21N-U,7557,7528
292,Non-BRTS,21-U,7578,7607
293,Non-BRTS,226-D,7608,7642
294,Non-BRTS,226-U,2449,7678
295,Non-BRTS,227-D,7679,7736
296,Non-BRTS,227-U,1582,7761
297,Non-BRTS,22-D,7762,7787
298,Non-BRTS,22-U,7788,7813
299,Non-BRTS,230-D,7814,7840
300,Non-BRTS,230-U,7841,7861
301,Non-BRTS,233-D,7862,7736
302,Non-BRTS,233-U,1582,7862
303,BRTS,234-D,4697,1168
304,BRTS,234-U,38,4706
305,BRTS,235-D,4697,7278
306,BRTS,235-U,7977,4706
307,BRTS,236-D,7983,1168
308,BRTS,236-U,38,7986
309,BRTS,237-D,4697,7997
310,BRTS,237-U,7998,4706
311,Non-BRTS,23-D,8007,8036
312,Non-BRTS,23-U,8037,8064
313,Non-BRTS,24A-D,8065,8100
314,Non-BRTS,24A-U,8101,8065
315,Non-BRTS,24B-D,8113,8156
316,Non-BRTS,24B-U,8157,8201
317,Non-BRTS,24-D,8202,8241
318,Non-BRTS,24-NGT-D,8242,8241
319,Non-BRTS,24-NGT-U,8256,2450
320,Non-BRTS,24-U,8256,8300
321,Non-BRTS,252-D,8301,8342
322,Non-BRTS,252-U,8343,8378
323,Non-BRTS,256B-D,8379,8399
324,Non-BRTS,256B-U,8400,8419
325,Non-BRTS,256-D,8420,8443
326,Non-BRTS,256S-D,8444,8460
327,Non-BRTS,256S-U,8461,8474
328,Non-BRTS,256-U,8475,8495
329,Non-BRTS,257A-D,8496,8547
330,Non-BRTS,257A-U,8548,8496
331,Non-BRTS,262-D,8582,524
332,Non-BRTS,262-U,8633,8582
333,Non-BRTS,264-D,8683,8745
334,Non-BRTS,264-U,8746,8683
335,Non-BRTS,26-D,8798,8820
336,Non-BRTS,26-U,8821,8842
337,BRTS,276-D,6786,7997
338,BRTS,276-U,7998,6828
339,Non-BRTS,277-D,8868,8923
340,Non-BRTS,277-U,8924,8868
341,Non-BRTS,279-D,8979,9045
342,Non-BRTS,279-U,9045,9108
343,Non-BRTS,27-D,9109,9131
344,Non-BRTS,27-U,9132,9147
345,Non-BRTS,280-D,9148,9162
346,Non-BRTS,280-U,9163,9183
347,Non-BRTS,281-D,9184,9238
348,Non-BRTS,281-U,9239,1996
349,Non-BRTS,282-D,9280,9325
350,Non-BRTS,282-U,9239,9359
351,Non-BRTS,283-D,9360,9390
352,Non-BRTS,283-U,9391,9421
353,Non-BRTS,284-D,9422,9468
354,Non-BRTS,284-U,9469,9519
355,Non-BRTS,286-D,9520,9552
356,Non-BRTS,286-U,9553,9576
357,Non-BRTS,28-D,9577,9595
358,Non-BRTS,28-U,314,9624
