route id,stop id,stop seq,stage
100-D,1,1,1
100-D,2,2,1
100-D,3,3,2
100-D,4,4,2
100-D,5,5,3
100-D,6,6,3
100-D,7,7,4
100-D,8,8,4
100-D,9,9,4
100-D,10,10,4
100-D,11,11,5
100-D,12,12,5
100-D,13,13,6
100-D,14,14,6
100-D,15,15,6
100-D,16,16,6
100-D,17,17,7
100-D,18,18,7
100-D,19,19,8
100-D,20,20,9
100-D,21,21,9
100-D,22,22,10
100-D,23,23,10
100-D,24,24,11
100-D,25,25,11
100-D,26,26,11
100-D,27,27,11
100-D,28,28,12
100-D,29,29,12
100-D,30,30,12
100-D,31,31,13
100-D,32,32,13
100-D,33,33,13
100-D,34,34,14
100-D,35,35,14
100-D,36,36,14
100-D,37,37,14
100-D,38,38,15
100-U,39,1,1
100-U,40,2,1
100-U,41,3,1
100-U,42,4,2
100-U,43,5,2
100-U,44,6,2
100-U,45,7,2
100-U,46,8,3
100-U,47,9,3
100-U,48,10,3
100-U,49,11,4
100-U,50,12,4
100-U,51,13,4
100-U,52,14,4
100-U,53,15,5
100-U,54,16,5
100-U,55,17,6
100-U,56,18,6
100-U,57,19,7
100-U,58,20,8
100-U,59,21,8
100-U,60,22,9
100-U,61,23,9
100-U,62,24,9
100-U,63,25,9
100-U,64,26,10
100-U,65,27,10
100-U,66,28,11
100-U,67,29,11
100-U,68,30,11
100-U,69,31,11
100-U,70,32,12
100-U,71,33,12
100-U,72,34,13
100-U,73,35,13
100-U,74,36,14
100-U,75,37,14
100-U,76,38,15
101-D,77,0,1
101-D,78,1,2
101-D,79,2,2
101-D,80,3,2
101-D,81,4,2
101-D,82,5,3
101-D,83,6,3
101-D,84,7,3
101-D,85,8,3
101-D,86,9,4
101-D,87,10,4
101-D,88,11,4
101-D,89,12,4
101-D,90,13,5
101-D,91,14,5
101-D,92,15,5
101-D,93,16,5
101-D,94,17,6
101-D,95,18,6
101-D,96,19,6
101-D,97,20,6
101-D,98,21,7
101-D,99,22,7
101-D,100,23,7
101-D,101,24,7
101-D,102,25,7
101-D,103,26,7
101-D,104,27,8
101-D,105,28,8
101-D,106,29,8
101-D,107,30,8
101-D,108,31,8
101-D,109,32,9
101-D,110,33,9
101-D,111,34,9
101-D,112,35,9
101-D,113,36,9
101-D,114,37,10
101-D,115,38,10
101-D,116,39,10
101-D,117,40,10
101-D,118,41,10
101-D,119,42,10
101-D,120,43,11
101-U,120,0,1
101-U,121,1,1
101-U,122,2,1
101-U,123,3,1
101-U,124,4,1
101-U,125,5,1
101-U,126,6,2
101-U,127,7,2
101-U,128,8,2
101-U,129,9,2
101-U,130,10,2
101-U,131,11,3
101-U,132,12,3
101-U,133,13,3
101-U,134,14,3
101-U,135,15,3
101-U,136,16,4
101-U,103,17,4
101-U,102,18,4
101-U,101,19,4
101-U,137,20,4
101-U,138,21,4
101-U,139,22,5
101-U,140,23,5
101-U,141,24,5
101-U,142,25,5
101-U,143,26,6
101-U,144,27,6
101-U,145,28,6
101-U,91,29,6
101-U,146,30,7
101-U,147,31,7
101-U,148,32,7
101-U,87,33,7
101-U,149,34,8
101-U,150,35,8
101-U,151,36,8
101-U,152,37,8
101-U,153,38,9
101-U,154,39,9
101-U,155,40,9
101-U,156,41,9
101-U,78,42,10
101-U,77,43,11
102-D,157,0,1
102-D,158,1,1
102-D,159,2,1
102-D,160,3,2
102-D,161,4,2
102-D,162,5,3
102-D,163,6,3
102-D,164,7,3
102-D,165,8,4
102-D,166,9,4
102-D,167,10,4
102-D,168,11,5
102-D,169,12,5
102-D,170,13,5
102-D,171,14,5
102-D,172,15,6
102-D,173,16,6
102-D,174,17,6
102-D,175,18,6
102-D,176,19,6
102-D,177,20,6
102-D,178,21,7
102-D,179,22,8
102-D,180,23,8
102-D,181,24,8
102-D,182,25,9
102-D,183,26,9
102-D,184,27,9
102-D,185,28,9
102-D,186,29,9
102-D,187,30,10
102-D,188,31,10
102-D,106,32,10
102-D,107,33,10
102-D,189,34,10
102-D,190,35,11
102-D,191,36,11
102-D,192,37,11
102-D,193,38,11
102-D,194,39,11
102-D,195,40,12
102-D,196,41,12
102-D,197,42,12
102-D,198,43,12
102-D,199,44,12
102-D,200,45,13
102-D,201,46,13
102-D,118,47,13
102-D,119,48,13
102-D,120,49,14
102-U,120,0,1
102-U,202,1,1
102-U,203,2,1
102-U,204,3,1
102-U,205,4,2
102-U,206,5,2
102-U,207,6,2
102-U,124,7,2
102-U,208,8,2
102-U,209,9,3
102-U,127,10,3
102-U,210,11,3
102-U,211,12,3
102-U,212,13,3
102-U,131,14,4
102-U,132,15,4
102-U,213,16,4
102-U,214,17,4
102-U,215,18,4
102-U,216,19,5
102-U,217,20,5
102-U,218,21,5
102-U,219,22,6
102-U,220,23,6
102-U,221,24,6
102-U,222,25,6
102-U,223,26,7
102-U,224,27,7
102-U,225,28,7
102-U,226,29,8
102-U,227,30,8
102-U,228,31,8
102-U,229,32,9
102-U,230,33,9
102-U,231,34,9
102-U,232,35,9
102-U,233,36,10
102-U,234,37,10
102-U,235,38,10
102-U,236,39,11
102-U,237,40,11
102-U,238,41,11
102-U,162,42,12
102-U,161,43,12
102-U,160,44,13
102-U,159,45,13
102-U,239,46,13
102-U,157,47,14
103A-D,240,0,1
103A-D,241,1,1
103A-D,242,2,1
103A-D,243,3,2
103A-D,244,4,2
103A-D,245,5,2
103A-D,246,6,3
103A-D,247,7,3
103A-D,248,8,4
103A-D,249,9,4
103A-D,250,10,4
103A-D,251,11,4
103A-D,252,12,5
103A-D,253,13,5
103A-D,254,14,5
103A-D,255,15,5
103A-D,256,16,6
103A-D,257,17,6
103A-D,258,18,7
103A-D,259,19,7
103A-D,260,20,8
103A-D,261,21,8
103A-D,262,22,8
103A-D,263,23,9
103A-D,264,24,10
103A-D,265,25,10
103A-D,266,26,10
103A-D,267,27,10
103A-D,268,28,10
103A-D,269,29,11
103A-D,270,30,11
103A-D,271,31,11
103A-D,272,32,12
103A-D,273,33,12
103A-D,274,34,13
103A-D,275,35,13
103A-D,276,36,13
103A-D,277,37,13
103A-D,278,38,14
103A-D,279,39,14
103A-D,280,40,15
103A-D,281,41,15
103A-D,282,42,15
103A-D,283,43,15
103A-D,284,44,15
103A-D,285,45,15
103A-D,286,46,16
103A-D,287,47,16
103A-D,288,48,16
103A-D,289,49,16
103A-D,290,50,16
103A-D,291,51,17
103A-D,292,52,17
103A-D,293,53,17
103A-D,294,54,17
103A-D,295,55,17
103A-D,296,56,18
103A-D,297,57,18
103A-D,298,58,18
103A-D,299,59,18
103A-D,300,60,18
103A-D,301,61,18
103A-D,302,62,19
103A-D,303,63,19
103A-D,304,64,19
103A-D,305,65,19
103A-D,306,66,20
103A-D,307,67,20
103A-D,308,68,20
103A-D,309,69,21
103A-D,310,70,21
103A-D,311,71,21
103A-D,312,72,21
103A-D,313,73,22
103A-U,314,0,1
103A-U,315,1,1
103A-U,316,2,1
103A-U,317,3,1
103A-U,318,4,2
103A-U,319,5,2
103A-U,320,6,2
103A-U,321,7,3
103A-U,322,8,3
103A-U,323,9,3
103A-U,324,10,3
103A-U,325,11,3
103A-U,326,12,4
103A-U,327,13,4
103A-U,328,14,4
103A-U,329,15,4
103A-U,330,16,4
103A-U,331,17,4
103A-U,332,18,5
103A-U,333,19,5
103A-U,334,20,5
103A-U,335,21,5
103A-U,336,22,5
103A-U,337,23,6
103A-U,338,24,6
103A-U,339,25,6
103A-U,340,26,6
103A-U,341,27,6
103A-U,342,28,7
103A-U,343,29,7
103A-U,344,30,7
103A-U,345,31,7
103A-U,346,32,7
103A-U,347,33,7
103A-U,348,34,8
103A-U,349,35,8
103A-U,350,36,9
103A-U,277,37,9
103A-U,351,38,9
103A-U,352,39,9
103A-U,353,40,10
103A-U,354,41,10
103A-U,272,42,11
103A-U,271,43,11
103A-U,355,44,11
103A-U,356,45,12
103A-U,357,46,12
103A-U,358,47,12
103A-U,359,48,12
103A-U,360,49,12
103A-U,361,50,13
103A-U,362,51,14
103A-U,363,52,14
103A-U,364,53,14
103A-U,365,54,15
103A-U,366,55,15
