Key,Stop Name,Latitude,Longitude
1,Hinjawadi - Maan Phase 3,18.576553,73.688178
2,Tech Mahindra,18.581104,73.687604
3,Tata Motors,18.585131,73.696387
4,Power House Hinjawadi,18.589022,73.704942
5,Infosys Phase 2,18.593475,73.707658
6,Emcure,18.59603,73.712839
7,Wipro Company Circle,18.596858,73.717895
8,Tata Johnsan,18.594508,73.728077
9,Geometric,18.593441,73.73245
10,Siemens,18.591144,73.733002
11,Infosys Phase 1,18.586352,73.733913
12,Shivaji Chowk Hinjawadi,18.591606,73.738883
13,Juna Hinjawadi Jakat Naka,18.590977,73.746943
14,Savtamali Mandir,18.592078,73.754691
15,Wakad Chowk,18.59242873,73.76177095
16,Mont Vert Society,18.59009877,73.76959295
17,Mankar Chowk,18.58998225,73.77439317
18,Apple Hospital,18.588616,73.781315
19,Vishalnagar,18.588332,73.784748
20,Wakad Phata,18.587935,73.789569
21,Rakshak Chowk,18.581265,73.798806
22,Aundh Hospital,18.576896,73.803226
23,Sangvi Phata,18.573403,73.806893
24,Aundhgaon,18.566517,73.812009
25,Bodygate,18.563131,73.813502
26,Bremen Chowk,18.55972,73.815579
27,Sindh Colony Aundh Road,18.556645,73.81788
28,Kasturba Gandhi Vasahat,18.555146,73.818967
29,Gol Market Aundh Road,18.551838,73.818967
30,Bal Kalyan Sanstha,18.548837,73.82356
31,Pune Vidhyapeeth Gate,18.541161,73.83671
32,E Square,18.534976,73.83661
33,Pumping Station,18.534976,73.838781
34,Mhasoba Gate,18.533121,73.841533
35,Simla Office,18.530748,73.847968
36,COEP Hostel,18.528638,73.852335
37,Modern HighSchool,18.524741,73.849472
38,Ma Na Pa,18.522409,73.852753
39,Ma Na Pa,18.5223076,73.8525531
40,Shivaji Putala,18.526309,73.852866
41,Simla Office,18.53024,73.849262
42,Mhasoba Gate,18.53238,73.842327
43,Pumping Station,18.534846,73.83866
44,Mafatlal Bungalow,18.536487,73.836493
45,Rangehills Corner,18.53753,73.8351
46,Pune Vidhyapeeth Gate,18.543632,73.827019
47,Bal Kalyan Sanstha,18.548507,73.823441
48,Gol Market Aundh Road,18.5511,73.821632
49,Kasturba Gandhi Vasahat,18.555013,73.81882
50,Sindh Colony Aundh Road,18.556615,73.817635
51,Bremen Chowk,18.559595,73.815419
52,Bodygate,18.56311,73.813115
53,Aundhgaon,18.565567,73.812186
54,Sangvi Phata,18.572595,73.807257
55,Aundh Hospital,18.576739,73.803097
56,Rakshak Chowk,18.580975,73.798629
57,Wakad Phata,18.587657,73.789301
58,Vishalnagar,18.588087,73.784362
59,Apple Hospital,18.588332,73.781379
60,Mankar Chowk,18.58975243,73.77431346
61,Mont Vert Society,18.59013595,73.76982437
62,Wakad Chowk,18.59235273,73.76171764
63,Savtamali Mandir,18.592196,73.759265
64,Juna Hinjawadi Jakat Naka,18.59082,73.746846
65,Shivaji Chowk Hinjawadi,18.590952,73.73889
66,Infosys Phase 1,18.58637,73.733315
67,Siemens,18.591,73.732934
68,Bank Of Maharashtra Hinjawadi,18.593873,73.731465
69,Tata Johnsan,18.594354,73.728016
70,Wipro Company Circle,18.596687,73.718211
71,Emcure,18.595727,73.712464
72,Infosys Phase 2,18.593536,73.708345
73,Power House Hinjawadi,18.588777,73.704973
74,Tata Motors,18.58511,73.696699
75,Tech Mahindra,18.580904,73.68781
76,Hinjawadi - Maan Phase 3,18.576539,73.688389
77,Kondhwa Bk,18.45419,73.89066
78,Ramdas Maral,18.4573536,73.8908234
79,Talab Company,18.4617051,73.8903212
80,Kondhwa Police Station,18.4631901,73.8894878
81,Chaitanya Vidyalay,18.468647,73.8889362
82,Kondhwa Kh,18.4730002,73.8891132
83,Kondhwa Shala,18.4760329,73.8896083
84,U Co Bank,18.4790333,73.89065
85,Kamela,18.4828415,73.8909929
86,Lullanagar,18.4851188,73.8895471
87,Netajinagar,18.488081,73.8928146
88,Shinde Chhatri,18.492007,73.8944706
89,Vanwadi Bazar,18.4951395,73.8944904
90,Vanwadi Corner,18.4984792,73.8953169
91,Military Hospital Vanawadi,18.5018177,73.8908157
92,Limb Center,18.5038965,73.887724
93,Mahatma Gandhi Stand,18.5058,73.8821517
94,Golibar Maidan,18.5022017,73.876229
95,Meera Society,18.501784,73.8723102
96,ST Vibhagiya Karyalay,18.5010083,73.868105
97,Ghorpade Peth,18.4998379,73.8642197
98,Swargate,18.5000367,73.8617283
99,Nehru Stadium,18.50068,73.8576133
100,Sarasbaug,18.5028833,73.853775
101,Madiwale Colony,18.5061321,73.8527527
102,SP College,18.5070858,73.8514099
103,Maharashtra Mandal,18.5096455,73.8473968
104,Sahitya Parishad,18.5109005,73.8457173
105,Deccan Corner,18.51352,73.8413417
106,Garware College,18.5122032,73.8385696
107,Sonal Hall,18.5104046,73.8348541
108,Nal Stop,18.5089461,73.8319948
109,SNDT College,18.5073172,73.8287756
110,Paud Phata,18.5069027,73.8237152
111,More Vidyalay,18.510395,73.8200717
112,Ideal Colony,18.5102094,73.8171283
113,Anandnagar Kothrud,18.5096474,73.814515
114,Jai Bhavaninagar,18.5092182,73.8115463
115,Pratiknagar,18.508295,73.8104383
116,Vanaj Corner,18.5073585,73.8073106
117,Vanaj Company,18.5069923,73.8041
118,Kachara Depot Kothrud,18.5074387,73.7999115
119,Bharatinagar,18.5077877,73.7967606
120,Kothrud Depot,18.507906,73.7949066
121,Bharatinagar,18.5078844,73.7968008
122,Kachara Depot Kothrud,18.507548,73.7999544
123,Vanaj Company,18.5071475,73.8041456
124,Vanaj Corner,18.507473,73.8072891
125,Pratiknagar,18.5083666,73.8098844
126,Jai Bhavaninagar,18.5093022,73.8115115
127,Anandnagar Kothrud,18.5096932,73.8144989
128,Ideal Colony,18.5108509,73.8184913
129,More Vidyalay,18.5102051,73.8208454
130,Paud Phata,18.5069943,73.8237984
131,SNDT College,18.507391,73.8286362
132,Nal Stop,18.5090199,73.8319626
133,Sonal Hall,18.510519,73.8348059
134,Garware College,18.5123126,73.8385079
135,Deccan Corner,18.5137761,73.8414766
136,Sahitya Parishad,18.5109158,73.8457199
137,Hirabaug,18.50435,73.8548
138,Sarasbaug,18.5013235,73.8582655
139,Swargate Depo,18.5005226,73.8595962
140,Ghorpade Peth,18.4999727,73.8642572
141,ST Vibhagiya Karyalay,18.5009975,73.8675308
142,Meera Society,18.5019951,73.8722458
143,Golibar Maidan,18.5022831,73.8761673
144,Mahatma Gandhi Stand,18.5065583,73.88209
145,Limb Center,18.5039989,73.8876583
146,Vanwadi Corner,18.4984436,73.8956146
147,Vanwadi Bazar,18.4951115,73.8945923
148,Shinde Chhatri,18.4926636,73.894238
149,Lullanagar,18.4851875,73.8896276
150,Kamela,18.4823845,73.8912231
151,U Co Bank,18.4787159,73.8907242
152,Kondhwa Shala,18.4769817,73.88985
153,Kondhwa Kh,18.47281,73.8891617
154,Chaitanya Vidyalay,18.4686394,73.8890381
155,Kondhwa Police Station,18.4628452,73.8897665
156,Talab Company,18.4618051,73.8902883
157,Lohgaon,18.5957642,73.9247742
158,Panyachi Taki Lohgaon,18.59353,73.922612
159,Kendriya Vidyalay Lohgaon,18.5928459,73.9193497
160,Officers Mess,18.5906944,73.9154282
161,Kalwad,18.5853367,73.9051361
162,Burma Shell,18.5779381,73.9031067
163,509,18.574501,73.8996124
164,Gaurdroom,18.5658162,73.894995
165,Nagpur Chawl,18.5640361,73.8936138
166,Yerawada Post Office,18.5599544,73.8917492
167,Vikrikar Karyalay,18.5542917,73.8901433
168,Netaji Highschool,18.5520096,73.889595
169,White House,18.5480385,73.8890551
170,Neeta Park,18.5456317,73.8885617
171,Yerawada,18.5450401,73.8854551
172,Bundgarden,18.5418733,73.8854005
173,Wadia College,18.5356433,73.8803617
174,Jehangir Hospital,18.5297683,73.8759133
175,Alankar Talkies,18.5286075,73.8762153
176,Income Tax Office,18.52577,73.8766376
177,GPO,18.5235117,73.8756233
178,Collector Kacheri,18.524345,73.8718417
179,Gadital,18.5275267,73.8635583
180,RTO,18.5297254,73.8626503
181,Engineering College,18.5302582,73.8544846
182,COEP Hostel,18.5288467,73.8524417
183,Simla Office,18.5274467,73.8513983
184,Jungleemaharaj Mandir,18.526215,73.8504433
185,Modern HighSchool,18.5246266,73.8493496
186,Balgandharv,18.5229967,73.8483177
187,Deccan Gymkhana,18.5164495,73.8427816
188,Deccan Corner,18.5136795,73.8415222
189,Nal Stop,18.5089893,73.8320457
190,SNDT College,18.5072969,73.8287569
191,Paud Phata,18.5069008,73.8237305
192,More Vidyalay,18.5104504,73.8196335
193,Ideal Colony,18.5103183,73.8176296
194,Anandnagar Kothrud,18.5096474,73.8145016
195,Jai Bhavaninagar,18.5093758,73.812227
196,Pratiknagar,18.5082567,73.81027
197,Vanaj Corner,18.5073814,73.807383
198,Vanaj Company,18.507128,73.8050186
199,Shikshaknagar,18.5102851,73.8033641
200,Paramhansnagar,18.5120419,73.8031467
201,Shikshaknagar,18.5102845,73.8033386
202,Bharatinagar,18.507906,73.7967498
203,Kachara Depot Kothrud,18.5075506,73.7999075
204,Shikshaknagar,18.5097339,73.8033964
205,Paramhansnagar,18.5121645,73.803112
206,Shikshaknagar,18.5097712,73.803428
207,Vanaj Company,18.507205,73.8051583
208,Pratiknagar,18.5083567,73.809815
